"bateria","Tem_Instr_Violao_Viola","Tem_Instr_Guitarra","Tem_Instr_Cavaco","Tem_Instr_Sintetizador_Teclado","Tem_Instr_Piano","Tem_Instr_Metais","Tem_Instr_Madeiras","Tem_Instr_Cordas","BPM","VolMedio","PctCantada","PctRap","duracao","ano_lancamento","gostou","n_reproducao","id_cliente"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,96.9663801510209,-4.70553977051755,79.6721400137561,0,159975,2018,FALSE,1,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,96.7984692513975,-7.71377950204625,77.6898241755418,0,218261,2021,TRUE,3,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,77.6409247193687,-10.1047226658306,69.2229068076058,0,132914,2021,FALSE,3,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,99.6989911828107,-8.94781729453738,19.6838548331229,89.110550020568,233622,2009,TRUE,4,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,82.3825118245839,-13.1668428015336,79.8774734262459,0,201176,2021,FALSE,3,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,123.18123736709,-14.2135615641421,34.8935424397243,0,214567,2004,TRUE,4,"#ID1349"
"Nenhuma",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,100.608502212389,-22.9618837204934,0,0,266010,2008,FALSE,5,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,100.85956255715,-10.3817904748466,79.9542730268894,0,260248,2002,TRUE,4,"#ID1349"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,97.9566494936222,-8.51860479639683,81.4429724594088,17.3698874924065,267175,1990,TRUE,1,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,94.3636274784204,-5.52684383822263,19.541735093958,70.067307597073,249419,2008,FALSE,3,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,150.423638467102,-7.05624205902952,62.1195813376619,0,164454,2020,TRUE,5,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,124.722349509514,-7.94956491123043,81.6599596042928,0,257162,2021,TRUE,5,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,104.494050454816,-6.93902347822265,56.920107986816,0,163142,2021,FALSE,3,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,111.923715818449,-8.11961058934156,78.6255236360228,0,201759,2008,TRUE,3,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,122.795009063326,-10.6693260111723,34.9855379085336,0,391640,1988,FALSE,1,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,125.3191299108,-11.6906857971569,24.8884933471338,0,237397,1977,FALSE,2,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,110.778169714994,-7.72912642410907,81.3040442457894,0,198156,2017,FALSE,4,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,88.6514776070291,-7.43549256903762,19.3000631124012,56.9547246727624,220836,2005,FALSE,4,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,89.7064688209483,-7.10530029201018,15.8880205702396,61.3187306200074,304078,2007,TRUE,4,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,123.567394581123,-7.80342972575733,76.4544133239964,0,244038,2008,TRUE,3,"#ID1349"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,118.475923779928,-6.5995155463096,50.9021944267695,0,265433,2017,TRUE,10,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,96.8352717873247,-6.90264790800301,65.2721078188539,17.8777396145612,273973,2011,FALSE,2,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,93.6111953198955,-14.2234055605327,75.9550656739693,0,186841,2019,FALSE,1,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,100.328386625714,-7.67622850183286,19.7042142268293,59.8528154399295,203691,2013,TRUE,3,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,91.9535011069542,-8.19391569017735,75.6268074624009,0,175916,2011,FALSE,1,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,86.8953155340618,-8.60207071563519,84.9651123688769,0,148773,2021,FALSE,3,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,135.927590926253,-7.23711210140616,77.9889004867595,0,214230,2009,TRUE,4,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,137.065458840846,-10.7549148612858,40.9554829401019,0,393330,1988,TRUE,2,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,127.908716882493,-8.15014798285905,64.4399681508228,0,296025,1964,TRUE,4,"#ID1349"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,129.552027417581,-7.10522661489635,67.2685071195574,0,203241,2019,TRUE,3,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,137.851978309603,-6.91053067234244,68.6096810940312,0,320030,1998,FALSE,7,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,73.1094519949121,-6.30123974012984,76.9658947135018,0,212727,2018,FALSE,1,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,154.231468844119,-2.91309943651687,67.5266519833105,0,324205,1978,TRUE,3,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,127.951786909045,-7.54918289658765,56.8994164232763,0,153334,2021,TRUE,3,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,83.0997779836558,-13.9329661746006,80.6915112033955,0,164188,2014,FALSE,3,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,82.2716561529635,-13.6624804071797,89.0284440700231,0,206906,2018,FALSE,2,"#ID1349"
"Nenhuma",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,91.9492418386887,-8.51421687536033,75.741489757945,17.747478038702,262069,2010,TRUE,4,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,124.895650023373,-12.2365196083032,39.954005653145,0,557763,1957,FALSE,4,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,110.732814071088,-5.22673505905039,56.1604583987805,0,197547,2021,TRUE,3,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,92.7610744075873,-10.5709721313233,80.0097338604699,0,196742,1988,TRUE,6,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,148.985551293191,-5.82131929879219,61.0207762299104,0,303011,2002,TRUE,6,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,146.337399464042,-7.54565345138675,65.5567477764196,0,368424,1983,TRUE,4,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.3398585060049,-9.27032768329031,71.7421245808191,0,154232,2018,FALSE,3,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,81.1062091555723,-6.94230164633871,76.0896819852183,0,189174,2021,FALSE,1,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,102.139997058882,-7.49902595129294,75.6841903667317,0,183210,2012,FALSE,3,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,81.4884852579732,-4.35261844916601,77.3564425518812,21.4291703921338,173538,2000,FALSE,4,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,139.05718934433,-6.46793354447877,57.219407164139,0,164883,2020,FALSE,2,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,124.728600866024,-7.9625497476105,20.4807261046504,0,775037,1985,FALSE,4,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,91.8205102896066,-3.97535286528016,78.0336052075501,0,238950,2006,TRUE,6,"#ID1349"
"Nenhuma",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,140.469754553058,-6.12154368887534,72.5890104273402,0,300282,2016,TRUE,7,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,84.2613299137215,-5.01904097551174,66.2622651242177,0,220216,2021,FALSE,6,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,111.260990823219,-7.18762797044247,77.8562291471498,0,258308,1961,FALSE,3,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,92.9893371727495,-7.3148913263827,80.9568082110248,0,182678,1999,TRUE,4,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,77.5455128157108,-12.3859449079038,77.2288057803909,0,183281,2019,FALSE,1,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,114.861341055416,-6.09643935314209,10.9908264687316,58.4578649926236,227148,2004,FALSE,4,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,110.959833571311,-6.25822204992182,18.859931320161,99.2325644421527,304873,2011,TRUE,3,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,103.285705861471,-4.99336276883384,15.7924961791991,62.4558711247157,203074,2007,FALSE,3,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,166.239609435953,-6.23074691006023,59.1407838551266,0,127084,2021,TRUE,3,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,65.1821038432857,-7.11326056390323,76.7196769291251,0,198500,2014,FALSE,4,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,79.11420745405,-11.5376463336187,71.9642242067561,0,206843,2021,FALSE,6,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,140.354938581816,-6.78692998896482,59.3249867723674,0,150829,2021,FALSE,4,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,98.290741059577,-7.94232944080926,30.9938631472032,52.6243546247684,183482,2010,FALSE,3,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,102.981429822844,-6.90232764030817,81.7866418962173,15.2267244924537,236917,2005,FALSE,4,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,90.357323140439,-7.79524006429169,15.6897113546498,64.4484076596519,106825,2003,FALSE,5,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,130.734851497348,-6.87006306465625,36.7003564525833,0,291025,2012,FALSE,1,"#ID1349"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,121.950704854589,-7.14262977401689,75.1682897301438,0,220164,2013,TRUE,3,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,136.97683926524,-8.07080983701536,79.5422938911422,0,202917,2010,FALSE,5,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,92.6769558229,-7.37355329764254,28.3687452039777,53.9435233901519,160874,2011,TRUE,6,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,76.4766956880589,-10.3321819584355,83.3373583327295,0,221723,2020,TRUE,3,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,91.9142680382052,-7.63330722227227,75.5636543674057,0,267340,2019,FALSE,1,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,54.3817277997647,-6.52548110210865,77.4383673926529,0,186592,2016,FALSE,3,"#ID1349"
"Nenhuma",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,115.166428822814,-5.60340208551332,81.2492802655099,0,171812,2000,FALSE,4,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,124.604233870052,-12.6507695880542,39.9013579068739,0,596291,1992,TRUE,5,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,106.987502319865,-7.19713007826721,62.2916023464566,0,216641,2021,FALSE,2,"#ID1349"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,134.069790621553,-7.28550560610629,55.6532564924853,0,135276,2021,FALSE,4,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,115.402227546478,-12.2920061916852,67.4299901008629,0,236745,1995,TRUE,5,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,85.7011107560244,-9.03514409762206,74.7942990499948,0,188240,2019,FALSE,2,"#ID1349"
"Nenhuma",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,116.164533898165,-11.4347348628014,53.3718071461691,0,252930,1988,FALSE,1,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,150.061513281457,-8.59079480333682,71.2755036563977,59.9176132912821,258173,1983,TRUE,6,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,83.6376579960103,-14.1270827591609,74.8392942838647,0,162692,2021,FALSE,6,"#ID1349"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,106.52718360256,-5.83822219742428,73.0376390121857,0,166992,2012,TRUE,7,"#ID1349"
"Nenhuma",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,79.1729926420888,-19.3249684029249,0,0,284945,2006,FALSE,3,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,74.9642406325138,-7.26840496752697,75.5230718537559,0,156331,2021,FALSE,4,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,88.725765059063,-6.65876089657474,79.6907577889063,19.1872215609281,163479,2003,FALSE,4,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,133.272410849238,-7.30673078836549,66.605484911713,0,285849,2006,TRUE,7,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,99.549837707821,-5.46008822956523,21.4617095969143,70.3910155374582,274396,1997,FALSE,2,"#ID1349"
"Eletrônica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,101.02505833164,-6.6408871502781,88.0697202415047,0,329096,2012,TRUE,2,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,76.5331396151573,-7.56876176039806,22.9460392735649,68.823681105054,233985,2012,TRUE,3,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,98.76964484794,-6.25720219118793,21.5934444701685,82.5160788162965,220159,2020,TRUE,3,"#ID1349"
"Nenhuma",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,121.959703642299,-7.90743454240977,80.8447785037575,18.2403108289683,250104,2017,TRUE,2,"#ID1349"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,167.238002203968,-6.0379640503288,60.9655563123658,0,203165,2021,TRUE,2,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,136.120783999867,-9.05676595478632,77.7785426827415,0,202607,1998,TRUE,2,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,107.981698818317,-7.88502849405953,23.5397035459519,74.6678029061483,255749,2008,FALSE,2,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,138.021687487882,-5.04880561497168,73.2712061040714,35.8556258703118,316233,1968,TRUE,3,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,92.8948661518288,-9.4051416101757,77.4032955701499,0,167741,2016,FALSE,3,"#ID1349"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,103.047716548802,-7.57540611149325,80.5217437164439,0,354275,2009,FALSE,3,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,141.442802663889,-14.9019636427485,0,0,73401,1997,FALSE,5,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,152.393248713162,-9.52094740352422,80.5847338225143,0,245759,2013,FALSE,3,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,108.34862731245,-6.71640892162746,78.0861011551573,0,261645,1997,TRUE,4,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,124.016703707347,-14.9752209024278,34.4210389463147,0,164013,1990,FALSE,1,"#ID1349"
"Eletrônica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,115.500810950705,-6.92192659427902,52.0552308185418,0,339035,1985,FALSE,2,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,120.46880253086,-7.98202246765505,23.9508388739371,75.5814154825463,291166,2000,FALSE,3,"#ID1349"
"Nenhuma",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,93.0314483387495,-26.1597802070104,0,0,253605,2005,FALSE,1,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,114.347509734897,-11.4926500424867,67.5149683724589,0,232185,1988,TRUE,3,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,152.123554999688,-9.46200415973151,69.9698702187636,0,352590,1978,FALSE,4,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,90.0123313172401,-10.7271722938354,74.1045083895788,0,252323,1996,FALSE,4,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,104.456156589101,-7.73079196797553,17.9215847833351,68.4118969983119,197863,1997,FALSE,4,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,117.376767854763,-10.7655275939965,57.4978064655987,0,299703,1970,FALSE,4,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,120.478852309977,-7.91005360247888,24.0662575657899,0,495230,1959,FALSE,4,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,125.746010762642,-6.55933321963294,34.3285006155762,0,457701,1946,FALSE,6,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123.690019450061,-5.94204861535485,83.2540894859063,0,227377,1986,FALSE,4,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,122.329851090921,-9.1482422847881,19.5056638138159,0,466363,1989,FALSE,3,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,117.131295858618,-7.67084585099745,73.7152514691325,22.1521682968509,184697,2021,FALSE,2,"#ID1349"
"Acústica",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,116.08052451176,-7.25546167605923,73.537172797884,33.5462113155652,354152,1982,TRUE,5,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,123.708714952567,-7.32392372290591,68.1943450796528,0,206801,2018,FALSE,2,"#ID1349"
"Acústica",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,138.899048101227,-6.80906209390267,64.6989699078445,0,238640,1953,TRUE,6,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,117.061518210195,-6.89090503904306,74.178381109854,0,179278,2002,FALSE,2,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,83.1608465463039,-12.8608226432931,73.2855534384803,0,226219,2020,FALSE,4,"#ID1349"
"Eletrônica",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,115.842765840972,-8.66064685255554,69.5137701805964,0,251545,2007,FALSE,1,"#ID1349"
"Acústica",FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,124.781479653228,-5.47105998248444,27.1814988260136,0,426895,1984,FALSE,3,"#ID1349"
"Eletrônica",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,94.4301107599948,-6.94999642161005,62.8965353339747,0,194464,2020,FALSE,2,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,88.9269705922001,-13.0410575890084,78.2578759208957,0,144500,2021,FALSE,3,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,84.3081926191932,-9.64624610745497,71.3855356719909,0,199388,2021,FALSE,2,"#ID1349"
"Eletrônica",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,128.643324602809,-5.3734181735998,58.591394696217,0,238389,2019,TRUE,5,"#ID1349"
"Acústica",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,113.731716115133,-10.5265064411507,79.961716512565,0,266062,1980,TRUE,3,"#ID1349"
"Acústica",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,87.094075936777,-5.90680028594202,83.1848498893798,0,180948,2020,FALSE,3,"#ID1349"
"Acústica",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,112.539756521417,-6.73870322959298,77.006397016158,0,289793,2011,TRUE,5,"#ID1349"
